ico,adress,fraud,start_date,market_start_date,diff_days,market_days,size_ok,price,market_cap,o_concur,biggest_holder,exchange,contract,date_analysis,code,site,social_media
RESERVE,0x8762db106b2c2a0bccb3a80d1ed41273552616e8,0,2019-05-17,2019-05-22,5,479,,,821.0,,12,0,55,2019-11-18,,,
RETAINLY,0x2add07c4d319a1211ed6362d8d0fbe5ef56b65f6,1,2017-10-30,2017-11-26,27,1021,x,x,,x,33,0,21,2018-05-25,x,,
RETENGO,0x62050d57cb395239972dc9a0d6c1ba273b45a416,1,2018-06-24,2018-08-11,48,763,x,x,,x,30,0,0,2019-02-07,,,
RIGHTMESH,0x8d5682941ce456900b12d47ac06a88b47c764ce1,1,2018-05-30,2018-06-28,29,807,x,,,,4,1,10,2018-12-25,x,x,
RIPIO,0xf970b8e36e23f7fc3fd752eea86f8be8d83375a6,0,2017-10-24,2017-10-24,0,1054,,,194.0,x,1,14,36,2018-04-22,,,
ROOBEE,0xa31b1767e09f842ecfd4bc471fe44f830e3891aa,0,2019-05-11,2019-10-15,157,333,,,447.0,,2,3,34,2020-04-12,,,
SAMFINS,0x8bab3ca6e929a5d5d1eefd5de68ecf3264fa742d,1,2018-03-06,2018-03-07,1,920,x,x,,x,58,0,3,2018-09-03,,,
SAVEDROID,0xbdeb4b83251fb146687fa19d1c660f99411eefe3,1,2018-01-29,2018-01-31,2,955,x,x,,,7,1,15,2018-07-30,x,x,
SEELE,0xb1eef147028e9f480dbc5ccaa3277d417d1b85f0,0,2018-05-20,2018-05-28,8,838,,,,,5,12,30,2018-11-24,,,
SENSE,0x6745fab6801e376cd24f03572b9c9b0d4edddccf,1,2017-12-20,2017-12-21,1,996,x,,,,1,0,56,2018-06-19,x,x,
SENTINELPROTOCOL,0xc86d054809623432210c107af2e3f619dcfbf652,0,2018-05-22,2018-06-15,24,820,,,431.0,,62,0,16,2018-12-12,,,
SFCAPITAL,0x8b6cda5cc518c904e8844f445e1a7c7d2db0ff16,1,2018-06-09,2018-10-04,117,709,x,,,,13,66,0,2019-04-02,x,,
SHARERING,0xee5fe244406f35d9b4ddb488a64d51456630befc,0,2018-06-03,2018-10-08,127,705,,,,,13,9,0,2019-04-06,,,
SHIPCHAIN,0xe25b0bba01dc5630312b6a21927e578061a13f55,1,2018-03-01,2018-03-12,11,915,x,,,,8,0,43,2018-09-08,,x,x
SHIVERS,0xd5f788ca0de8f17cbde1d1e35aa8f005a87fa00b,1,2017-12-28,2018-01-12,15,974,,x,,,68,2,2,2018-07-11,x,,
SINGULARITYNET,0x8eb24319393716668d768dcec29356ae9cffe285,0,2017-12-21,2017-12-21,0,996,,,213.0,,1,17,9,2018-06-19,,,
SIRINLABS,0x68d57c9a1c35f63e2c83ee8e49a64e9d70528d25,1,2017-12-12,2017-12-12,0,1005,x,,,,33,10,0,2018-06-10,x,x,
SNDTOKEN,0xf333b2ace992ac2bbd8798bf57bc65a06184afba,1,2017-07-26,2017-09-18,54,1090,,,,,13,0,2,2018-03-17,x,,
SOCIALMEDIAPAY,0xe2d4ea9fd5eccc15ae06b3bc5c6b8778408d42c3,1,2018-09-11,2018-10-08,27,705,x,x,,x,16,0,0,2019-04-06,x,,
SPARKSTER,0x971d048e737619884f2df75e31c7eb6412392328,1,2018-07-22,2018-07-22,0,783,x,,,,52,2,27,2019-01-18,,,
SPECTRE,0x12b306fa98f4cbb8d4457fdff3a0a0a56f07ccdf,0,2017-12-11,2017-11-12,-29,1035,,,525.0,,2,0,20,2018-05-11,,,
STATUS,0x744d70fdbe2ba4cf95131626614a1763df805b9e,0,2017-06-19,2017-06-20,1,1180,,,90.0,x,13,4,29,2017-12-17,,,
STOPTHEFAKES,0x64be6b77cc723e5518687a04b4e62824e89fd8bb,1,2018-01-23,2018-04-25,92,871,x,x,,,21,0,62,2018-10-22,x,x,
STORJ,0xb64ef51c888972c908cfacf59b47c1afbc0ab8ac,0,2017-06-19,2017-06-19,0,1181,,,200.0,x,2,7,7,2017-12-16,,,
STOX,0x006bea43baa3f7a6f765f14f10a1a1b08334ef45,1,2017-08-01,2017-08-02,1,1137,x,,,,6,19,6,2018-01-29,x,x,
STPNETWORK,0xde7d85157d9714eadf595045cc12ca4a5f3e2adb,0,2019-06-05,2019-07-04,29,436,,,283.0,,37,10,0,2019-12-31,,,
